Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 245: Reward = 993.10
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 246: Reward = 1041.52
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 247: Reward = 1020.17
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 248: Reward = 1066.35
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 249: Reward = 1082.76
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 250: Reward = 985.72
Evaluation reward (episode 250): 1440.48
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 251: Reward = 1034.01
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 252: Reward = 1108.32
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 253: Reward = 1009.53
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 254: Reward = 1009.22
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 255: Reward = 1082.82
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 256: Reward = 1045.46
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 257: Reward = 1025.65
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 258: Reward = 1112.00
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 259: Reward = 1113.92
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 260: Reward = 1073.47
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 261: Reward = 1021.07
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 262: Reward = 1017.12
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 263: Reward = 1077.61
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 264: Reward = 1079.10
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 265: Reward = 1082.15
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 266: Reward = 1116.46
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 267: Reward = 1037.38
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 268: Reward = 1123.54
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 269: Reward = 1053.42
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 270: Reward = 1093.12
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 271: Reward = 1109.88
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 272: Reward = 1139.98
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 273: Reward = 1102.79
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 274: Reward = 1045.48
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 275: Reward = 1075.65
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 276: Reward = 1108.98
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 277: Reward = 1072.30
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 278: Reward = 1147.84
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 279: Reward = 1055.58
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 280: Reward = 1097.19
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 281: Reward = 1083.56
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 282: Reward = 1142.64
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 283: Reward = 1132.66
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 284: Reward = 1131.24
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 285: Reward = 1115.09
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 286: Reward = 1128.50
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 287: Reward = 1084.01
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 288: Reward = 1154.74
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 289: Reward = 1134.93
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 290: Reward = 1164.62
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 291: Reward = 1082.86
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 292: Reward = 1132.09
